id,type,prompt,question,image,optionA,optionB,optionC,optionD,optionE,optionF,correctAnswer,passage,blanks
46,multiple-choice,第46-48题,"第46题:\n在沙滩排球场上，半躺在沙滩椅中，头顶着蓝天，脚下踩着软软的细沙，吹着海风，享受那份惬意。阳光下，球场两边各有两名 _46_ 着太阳眼镜、晒得一身古铜色 _47_ 的运动员在网前争夺。满身的沙子，还有满身的汗水，在蓝天白云的衬托下，阳光的照射下，动感而 _48_ 活力。",,穿, 带, 挂, 藏,,,D,,
47,multiple-choice,,"第47题:",,皮肤, 身体, 头发, 胳膊,,,A,,
48,multiple-choice,,"第48题:",,形成, 包括, 充满, 实现,,,C,,
49,multiple-choice,第49-52题,"第49题:\n一个姑娘和一个小伙子结婚了，他们结婚以后的生活十分幸福。小伙子非常喜欢足球，每次电视中有足球比赛的时候，他连饭都不吃也要看。对此，年轻的妻子一点儿 _49_ 也没有。一天，电视里又播放足球比赛，丈夫坐在电视机前一动也不动，妻子跟他说话他也 _50_ 没有听到。年轻的妻子非常 _51_ ，她哭着回到自己的妈妈家，可是回到家的时候却发现家里只有爸爸一个人，也坐在电视机前看足球比赛。“ _52_ ?”她很奇怪。“回她的妈妈家了。”父亲头也不回地说。",,办法, 意思, 方式, 能力,,,A,,
50,multiple-choice,,"第50题:",,好像, 相似, 表示, 相同,,,A,,
51,multiple-choice,,"第51题:",,平静, 着急, 生气, 担心,,,C,,
52,multiple-choice,,"第52题:",,妈妈呢, 爸爸，你累了吧, 妈妈也看足球比赛, 您怎么不看电视呢,,,A,,
53,multiple-choice,第53-56题,"第53题:\n从前有一位老人叫愚公，他家门前有两座山，又高又大， _53_ ，全家人出门都很不方便。\n一天，愚公把家里人叫到一起，说:“有山挡着，出门太困难了，我们把它搬走，好不好?”全家人都很 _54_ ，只有他的妻子没有信心。她说:“你已经快90 了，怎么能搬山呢?而且山上的石头，要搬到哪里去呢?”愚公说:“可以扔到海里。”村里人看到愚公这么大年纪还在搬山，都很感动，也来帮助他们。有个叫智叟的老头儿看到了， _55_ 愚公太傻。愚公却说:“我死了还有儿子，儿子还有孙子，我们的人越来越多，山上的石头却越来越少，我们一定能 _56_ !”",,挡住了路, 十分矛盾, 因为无法推辞, 犹豫了很长时间,,,A,,
54,multiple-choice,,"第54题:",,允许, 注意, 反对, 赞成,,,D,,
55,multiple-choice,,"第55题:",,相信, 考虑, 笑话, 确认,,,C,,
56,multiple-choice,,"第56题:",,发展, 努力, 到达, 成功,,,D,,
57,multiple-choice,第57-60题,"第57题:\n人的一生，就像乘坐一辆公交车。我们知道它有起点和终点，却无法预知沿途的经历。有的人行程长，有的人行程短。有的人很从容，可以 _57_ 窗外的景色。有的人很窘迫，总处于拥挤之中。要想获得舒适与优雅， _58_ 。\n有的人很 _59_ ，一上车就有座。有的人很倒霉，即使全车的人都坐下了，他还站着。有时别处的座位不断空出来，唯独身边这个毫无动静。而当他下定决心走向别处，刚才那个座位的人却正好离开。有的人用了种种的方式，经历了长长的 _60_ ，终于可以坐下，但这时他已经到站了。",,旅游, 追求, 欣赏, 想像,,,C,,
58,multiple-choice,,"第58题:",,需要好的心情, 座位必不可少, 忘掉那些不愉快吧, 应该自己买一辆车,,,B,,
59,multiple-choice,,"第59题:",,疲劳, 兴奋, 热情, 幸运,,,D,,
60,multiple-choice,,"第60题:",,理解, 等待, 休息, 交谈,,,B,,
61,multiple-choice,第61-70题,"第61题:\n百货公司里有一台自动报体重的电子秤。一位胖女士责备道:“我最恨它了!”朋友问:“为什么?它大声说出你的体重了吗?”胖女士愤怒地说:“不!上次我刚一踩上去，它就大声说‘每次只限一人，每次只限一人’。”",,电子秤被弄坏了,那位女士很乐观,那位女士不想减肥,电子秤是百货公司的,,,D,,
62,multiple-choice,,"第62题:\n要想提高睡眠质量，须注意入睡的时间。能取得较好睡眠质量的入睡时间是晚上 9 点到 11 点，中午 12 点到 1 点半，夜里两点到 3 点半。这时人体精力下降，反应减慢，情绪低下，利于人体进入甜美的梦乡。",,中午不适合睡眠,每天必须睡够 8 个小时,入睡时间影响睡眠质量,早睡觉有利于身体健康,,,C,,
63,multiple-choice,,"第63题:\n“老舍茶馆”分为三层，一共有 2600 多平方米。每一层都很大，环境也很优美。来到这里，人们可以喝到各种名茶，吃到各种北京传统风味小吃，同时，还可以欣赏到精彩的演出，主要包括京剧、相声等这些中国有名的传统艺术。",,人们很少在这儿看表演,“老舍茶馆”是免费的,客人可以在这儿尝到小吃,“老舍茶馆”的面积不大,,,C,,
64,multiple-choice,,"第64题:\n人们曾经把西红柿当做有毒的果子，直到 18 世纪，人们才知道它的食用价值。现在它是人们餐桌上的美味，生食、煮食都可以。它是世界上种植非常普遍的蔬菜，中国作为主要生产国之一也在不断扩大它的种植面积。",,西红柿吃法多样,过去西红柿是有毒的,西红柿的种植范围在缩减,世纪前人们就开始食用西红柿,,,A,,
65,multiple-choice,,"第65题:\n筷子是中餐最主要的进餐用具，在使用上也有很多讲究。用餐过程中，如果说话，不要将筷子随便晃动，也不要用筷子敲打碗、盘子以及桌面，更不能用筷子指点他人，暂时离开时，要把筷子轻轻放在桌子上或餐盘边，不能插在饭碗里，而且尽量不要发出响声。",,使用筷子没太多讲究,说话时敲筷子不礼貌,筷子不能放在桌面上,用筷子敲碗可以表示高兴,,,B,,
66,multiple-choice,,"第66题:\n长期以来，鲨鱼一直被电影、电视和书籍描写为海洋中的可怕杀手，它凶猛、恐怖，威胁着海洋中一切生物的生命。难道鲨鱼真的那么可怕吗?科学家发现，地球上大约有 370 多种鲨鱼，大部分鲨鱼对人类有益无害。只有少数鲨鱼，如“大白鲨”，才会伤害人类。",,鲨鱼不会伤害人类,地球上有上千种鲨鱼,大部分鲨鱼对人类有害,鲨鱼没有人们想像的那么可怕,,,D,,
67,multiple-choice,,"第67题:\n哈尔滨冰灯驰名中外。这里大规模有组织地制作和展出冰灯始于 1963 年，人们利用盆、桶等简单模具自然冷冻了千余盏冰灯和数十个冰花，于元宵佳节在公园展出，轰动全城。1985 年又以冰灯游园会为中心举办了冰雪节，以后每年的 1 月 5 日成为哈尔滨人特有的地方性传统节日。",,冰雪节 5 年举办一次,哈尔滨人很喜欢冰灯,冰雪节的历史有 100 多年,哈尔滨人在元旦举办冰雪节,,,B,,
68,multiple-choice,,"第68题:\n昨晚我请新找的女朋友去吃饭，吃到一半时突然发现忘了带钱包。想了一下，实在没办法，只好向女友开口。因为实在不好意思，所以脸红了，说话也很慢:“我„„”这时候想不到的事情发生了，她竟然理解错了，也红着脸说:“我也爱你。”",,女朋友没脸红,女朋友很小气,他觉得自己运气好,女朋友误会他的意思了,,,D,,
69,multiple-choice,,"第69题:\n张华为《新华晚报》工作，他的工作得到了大家的肯定。一天，老板对他说:“为了奖励你，我决定给你放 6 个月的假。”但张华没有接受，老板问为什么，他回答:“我不能接受您的好意有两方面的考虑。如果我不写文章了，《新华晚报》可能会卖得不好，但也可能不受影响。前者对您不好，而后者对我不好。”",,张华想辞职,张华想应聘编辑,同事们肯定了张华的工作,老板觉得张华的文章一般,,,C,,
70,multiple-choice,,"第70题:\n花木兰是中国古代的女英雄，以代替父亲参加军队并打败入侵敌人而闻名天下。她的故事经常出现在很多文艺作品中，电影、电视剧也多次重拍。有关她的一些介绍最早出现在北朝民歌《木兰辞》中，但是关于她的出生年月和故乡，史书记载不一。",,《木兰辞》是唐朝民歌,史书对花木兰没有记录,花木兰的故事被拍成了电影,花木兰和父亲一起参加了军队,,,C,,
71,multiple-choice-shared,第71-73题,"\n老师把一个大玻璃瓶子带到学校，瓶子里装着满满的石头、玻璃碎片和沙子。之后，老师请学生把瓶子里的东西都倒出来，然后再装进去，先从沙子开始。\n每个学生都试了试，最后都发现没有足够的空间装所有的石头。\n老师指导学生重新装这个瓶子。这次，先从石头开始，最后再装沙子。石头装进去后，沙子就沉积在石头的周围，最后，所有东西都装进瓶子里了。\n老师说:“如果我们先从小的东西开始，把小东西装进去之后，大的石头就放不进去了。生活也是如此，如果你的生活先被不重要的事挤满了，那你就无法再装进更大、更重要的事了。”",h50901-q71.png,,,,,,,,,
72,multiple-choice-shared,,"第71题:\n那个任务,学生刚开始完成得怎么样?",h50901-q71.png,都没完成,都装进去了,完成得很好,有一组没做完,,,A,,
73,multiple-choice-shared,,"第72题:\n正确的装法是,先装:",h50901-q71.png,小东西,大东西,轻的东西,软的东西,,,B,,
74,multiple-choice-shared,,"第73题:\n上文主要告诉我们,生活中应该:",h50901-q71.png,多思考,先做小事,先做重要的事,多听别人的建议,,,C,,
