id,type,prompt,question,image,optionA,optionB,optionC,optionD,optionE,optionF,correctAnswer,passage,blanks
例子-1,put-answer-in-order,"第91-98题","例如:\n",,发表, 这篇论文, 什么时候, 是, 的,,这篇论文是什么时候发表的,,,
96,put-answer-in-order,,"第91题:",,锻炼, 健身房, 去, 他, 偶尔, 会,他偶尔会去健身房锻炼 / 他会偶尔去健身房锻炼 / 偶尔他会去健身房锻炼,,,
97,put-answer-in-order,,"第92题:",,一定, 道歉的时候, 态度诚恳, 要,,,道歉的时候一定要态度诚恳,,,
98,put-answer-in-order,,"第93题:",,节日, 是, 春节, 一个, 传统的,,春节是一个传统的节日,,,
99,put-answer-in-order,,"第94题:",,北京, 给 深刻的印象, 他, 留下了,,,北京给他留下了深刻的印象,,,
100,put-answer-in-order,,"第95题:",,彩虹, 雨后, 常常能, 看到,,,雨后常常能看到彩虹,,,
101,put-answer-in-order,,"第96题:",,他, 日程, 把, 已经, 安排好了,,他已经把日程安排好了 / 他把日程已经安排好了,,,
102,put-answer-in-order,,"第97题:",,总共, 消费, 您, 198块钱,,,您总共消费 198 块钱 / 您消费总共 198 块钱,,,
103,put-answer-in-order,,"第98题:",,意义, 他的, 有, 很特殊的, 这段经历,,他的这段经历有很特殊的意义,,,
例子-2,fill-in-sentence,,"第99题:\n请结合下列词语(要全部使用),写一篇 80 字左右的短文。",,,,,,,,,结账、干脆、感谢、临时、海鲜,,
例子-3,fill-in-sentence,,"第100题:\n请结合这张图片写一篇 80 字左右的短文。",h50901-q100.png,,,,,,,,,,
