id,type,prompt,question,image,optionA,optionB,optionC,optionD,optionE,optionF,correctAnswer,passage,blanks
1,multiple-choice,第1-20题,"第1题:",,雨快停了, 他会带伞的, 他不出去了, 他没有雨伞,,,B,,
2,multiple-choice,,"第2题:",,没问题, 已经放弃了, 要早点儿去, 不知道地址,,,B,,
3,multiple-choice,,"第3题:",,宴会结束, 庆祝生日, 商业谈判, 机场送行,,,A,,
4,multiple-choice,,"第4题:",,她爸爸, 她妈妈, 她丈夫, 她孩子,,,C,,
5,multiple-choice,,"第5题:",,他忘了, 他太忙了, 手机没电了, 飞机晚点了,,,D,,
6,multiple-choice,,"第6题:",,学校, 饭店, 商场, 地铁,,,B,,
7,multiple-choice,,"第7题:",,3月初, 3月15号, 4月中旬, 4月底,,,C,,
8,multiple-choice,,"第8题:",,责备, 安慰, 询问, 夸奖,,,B,,
9,multiple-choice,,"第9题:",,洗澡, 等车, 看电视, 洗衣服,,,C,,
10,multiple-choice,,"第10题:",,十分自信, 没有把握, 刚参加工作, 没得到那份工作,,,A,,
11,multiple-choice,,"第11题:",,生意不好, 是广告公司, 做了很多宣传, 要开发新产品,,,C,,
12,multiple-choice,,"第12题:",,下午要开会, 今天不是星期三, 女的在提醒男的, 男的不知道要开会,,,A,,
13,multiple-choice,,"第13题:",,顾客多, 在四川, 服务不好, 菜的味道怪,,,A,,
14,multiple-choice,,"第14题:",,机会很重要, 压力不能太大, 要争取拿金牌, 人应该有点儿压力,,,B,,
15,multiple-choice,,"第15题:",,迟到了, 退休了, 换工作了, 当演员了,,,C,,
16,multiple-choice,,"第16题:",,车坏了, 没赶上火车, 没买到机票, 航班取消了,,,D,,
17,multiple-choice,,"第17题:",,律师, 医生, 老师, 理发师,,,D,,
18,multiple-choice,,"第18题:",,吃早饭, 增加营养, 锻炼身体, 去医院检查,,,A,,
19,multiple-choice,,"第19题:",,质量非常好, 以后再说吧, 价格可以再谈, 现在没有产品,,,C,,
20,multiple-choice,,"第20题:",,是位大夫, 身体很好, 睡眠不好, 不相信中医,,,C,,
21,multiple-choice,第21-45题,"第21题:",,相机坏了, 没带相机, 忘记带手机了, 手机不能照相,,,B,,
22,multiple-choice,,"第22题:",,只招聘一人, 公司不招人, 女的被录取了, 女的不想去考试,,,A,,
23,multiple-choice,,"第23题:",,银行, 商店, 电影院, 博物馆,,,A,,
24,multiple-choice,,"第24题:",,司机, 秘书, 电视台, 出租车公司,,,D,,
25,multiple-choice,,"第25题:",,自己猜的, 自己看见的, 听别人说的, 她也去打球了,,,B,,
26,multiple-choice,,"第26题:",,领导, 家人, 专家们, 班主任,,,B,,
27,multiple-choice,,"第27题:",,登机, 开车, 修汽车, 打扫房间,,,B,,
28,multiple-choice,,"第28题:",,刘洋缺少勇气, 资金比较紧张, 女的很了解刘洋, 他们在出版社工作,,,C,,
29,multiple-choice,,"第29题:",,会做饭, 没带现金, 喜欢滑冰, 是个工程师,,,A,,
30,multiple-choice,,"第30题:",,明天, 下周一二, 两周后, 下个月,,,B,,
31,multiple-choice,,"第31题:",,学习, 开会, 接人, 参观游览,,,B,,
32,multiple-choice,,"第32题:",,多云, 会下雪, 没有风, 比今天冷,,,D,,
33,multiple-choice,,"第33题:",,夫妻, 同事, 经理和职工, 老师和学生,,,B,,
34,multiple-choice,,"第34题:",,看病, 送文件, 去郊区玩, 去国外出差,,,C,,
35,multiple-choice,,"第35题:",,车上, 餐厅, 汽车站, 办公室,,,D,,
36,multiple-choice,,"第36题:",,男朋友, 她一个人住, 一个好朋友, 父亲和母亲,,,C,,
37,multiple-choice,,"第37题:",,觉得不方便, 房子价格太高, 现在住的地方太远, 想和丈夫住在一起,,,A,,
38,multiple-choice,,"第38题:",,不想搬家, 还在上大学, 想买贵的房子, 还没找到合适的房子,,,D,,
39,multiple-choice,,"第39题:",,要求严格, 十分疼爱, 从不批评, 经常表扬,,,A,,
40,multiple-choice,,"第40题:",,批评了儿子, 嗓子不舒服, 认为老师错了, 看到了事情的经过,,,B,,
41,multiple-choice,,"第41题:",,支持自己, 教育得对, 指出了错误, 一直在听他说,,,D,,
42,multiple-choice,,"第42题:",,骄傲, 愤怒, 吃惊, 满意,,,C,,
43,multiple-choice,,"第43题:",,很有效, 作用不大, 很多人反对, 垃圾更多了,,,B,,
44,multiple-choice,,"第44题:",,一个笑话, 一句谢谢, 一个玩具, 一份报纸,,,A,,
45,multiple-choice,,"第45题:",,很受欢迎, 很不干净, 价值50元, 每周换一次,,,A,,
